NMF,NAD,CFC,NCC,NMC,a2a
4,0,9,450,9,99.77973568
2,1,12,606,11,99.77973568
126,1,632,34474,301,77.7892562
121,0,633,33955,303,78.09917355
6,0,13,731,13,99.77973568
2,1,12,606,11,99.77973568
8,1,1,125,2,99.56043956
4,1,15,763,13,99.78070175
6,0,16,888,15,99.78070175
7,1,19,951,17,99.78070175
9,1,5,507,4,99.3442623
1,1,3,426,3,88.53255588
10,1,2,81,1,87.93774319
4,2,15,797,15,88.15533981
1,0,0,5,0,100
0,0,0,0,0,100
2,1,7,395,7,96.46425826
0,0,0,0,0,100
6,1,12,490,8,99.72583962
20,1,31,1793,37,85.94276094
18,5,53,2638,47,86.24161074
6,0,4,259,4,100
2,0,7,438,5,100
4,2,14,1341,2,90
1,0,1,21,0,100
2,0,7,438,5,100
