e5ece9506907018ec06cae0926050ee27f634617,FLUME-3421,Bug,Default log4j settings do not log to console after FLUME-2050,,Major,100
67e41db152b6efd80959db53a5560c587b8f919a,FLUME-3422,Bug,Integration tests no longer generate logs due to slf4j problems,,Major,100
ff389b5438c9f3c0ab3b31ebd40466895684ed86,FLUME-3419,Task,Review project LICENSE and NOTICE,,Blocker,100
0172347bfe87e39f5302ee010b6dc62ffd5d45cc,FLUME-3419,Task,Review project LICENSE and NOTICE,,Blocker,100
10f0bd3b5e40bc9eeefac34a1ff13a9b374b0db8,/,/,    Bump jetty-server from 9.4.38.v20210224 to 9.4.41.v20210516 (#365),/,/,100
15b797d9a855b6cde46bb54128e4fb5c34a4adfc,/,/,    Bump mina-core from 2.0.4 to 2.1.5 (#364),/,/,100
50ad4df453d502072c635b7476c6bd47034b6bc1,FLUME-3417,Task,Remove Elasticsearch sink that requires Elasticsearch 0.90.1,Sinks+Sources,Major,100
f248a21b06471e8e8d4905aff5114bbdf4cd4d11,FLUME-3417,Task,Remove Elasticsearch sink that requires Elasticsearch 0.90.1,Sinks+Sources,Major,90.86444008
019609c20a463aa6cd352f55b88125ebd58beeb7,/,/,    Remove conosle appender ref,/,/,100
f58f5421e1a6026dda02567030296474cea7c66f,/,/,    Add slf4j back into test classpath,/,/,100
c2179799ae8b911e93eba49e4953650fab7a2e56,/,/,    Add in console appender and change log locations to ./log,/,/,90.86444008
eaa1d29dd141c9db5bf6cfb8e689ca32b67859a2,FLUME-3414,Bug,upgrade jackson due to CVE-2020-36518,,Major,90.86444008
dafb26ccb172141c6e14e95447e1b6ae38e9a7d0,FLUME-3416,Bug,Improve input validation in JMSSource,Sinks+Sources,Major,100
dfbdb688f23cb81a2f8f51910a390b8ee6b28ec0,FLUME-3411,Task,upgrade hive sink to 1.2.2,Technical Debt,Major,100
46e816aadd2a3796428c9393483384a90ea249e6,FLUME-3414,Bug,upgrade jackson due to CVE-2020-36518,,Major,100
d357e3886dad8bed6bfca553a62c51697417f0e6,/,/,    Merge branch 'pjfanning-patch-2' into trunk,/,/,100
