NMF,NAD,CFC,NCC,NMC,a2a
68,6,61,1536,191,66.23544631
5,4,47,3691,25,98.85931559
4,0,1,59,1,94.24379233
3,0,2,44,2,100
95,3,81,10127,18,67.38428418
85,16,359,14141,224,69.08163265
31,0,35,1275,18,97.95121951
1,0,0,0,0,100
29,0,35,1284,18,97.95121951
32,1,31,487,17,97.55142018
5,0,1,663,4,99.58762887
4,1,4,797,1,99.58762887
29,0,35,1294,18,97.93510324
30,0,35,1297,18,97.93510324
2,0,1,185,1,100
3,0,0,81,0,100
2,0,0,126,0,100
13,0,33,1573,12,95.68181818
2,0,1,43,1,100
13,0,34,1616,13,95.68181818
22,6,33,1291,13,96.44670051
21,0,32,1093,9,98.42931937
14,0,35,1810,17,92.94117647
28,0,35,1285,18,99.11838791
45,3,72,4445,32,94.67723669
14,0,34,1612,13,95.71106095
39,1,30,2635,15,93.39622642
8,3,73,4118,37,93.06818182
2,0,2,39,0,98.24150059
1,0,2,39,0,100
5,0,4,74,4,98.93238434
1,0,2,39,0,100
58,6,32,1801,25,89.95157385
41,3,110,5492,55,92.19288175
3,0,6,143,1,99.89293362
3,0,6,304,1,100
4,0,6,311,1,100
3,0,6,304,1,100
4,0,15,495,11,96.50273224
10,7,37,1910,19,97.91666667
1,0,2,21,0,100
7,0,9,74,3,100
4,0,1,34,1,100
