CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
9ddadfd2331bf937cbc3971254035d0d799e28fd,27,198,28,170,2,0,2,1,5,7,1,10,2.875460654,1299,56,6,202,198,4,7423,6691,732,191,192,1,84.58646617
b774bae22c9f0b7083c0c243ba23fa99fe97f112,2,60,1,59,0,0,0,1,2,0,1,2,0.349184374,109,57,7,18,14,4,740,630,110,18,14,4,100
99cd8ac3a26a3787b240b87a806ffb00bfb8ab4a,19,393,51,342,3,0,3,2,5,3,2,12,3.622772122,1262,58,8,177,150,27,9232,7471,1761,118,111,7,95.8781362
bd57a93fb4ad5007451baeef5a683a03b36a01e1,1,4,10,6,0,0,0,2,4,44,1,1,0,58,13,0,9,11,2,269,273,4,3,5,2,100
29a9f5996bbd7b31b9cca66d2a29399009921f70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,100
465fea38a555937638d8994ae9bc626d40139829,28,282,261,21,0,0,0,2,6,0,2,11,4.102802149,1787,59,9,222,231,9,10738,10611,127,177,192,15,90.14084507
12516720c8ab985953a3afcd638a7fbc201eda77,1,1,14,13,0,0,0,1,4,1,1,1,0,149,60,10,30,34,4,729,796,67,30,32,2,100
4397fc340bd75d060aa73bbc3a7f2adcfbbd03d6,13,231,86,145,3,0,3,2,7,0,3,8,1.945573648,697,15,2,63,46,17,4743,6662,1919,38,27,11,91.47005445
833907011afaa6828c93554b4858bf9fa4e6fe75,2,109,62,47,1,0,1,2,6,1,2,2,0.972966127,160,61,8,14,12,2,1215,1075,140,12,10,2,95.63636364
725130f26a18f81c6d167ed6b3f374c6259fe1c3,1,2,2,0,0,0,0,2,6,3,1,1,0,111,62,9,11,11,0,616,620,4,8,8,0,100
65aa079bc94307e1264e08b3eff4f4b17eaf80f3,20,142,273,131,0,0,0,1,5,0,1,4,3.99407691,1155,63,10,203,193,10,7053,7008,45,166,166,0,99.12587413
72db7ed3cc552a505dd098a4d45d159a249d1b6c,1,13,1,12,0,0,0,2,8,9,1,1,0,175,16,3,23,22,1,1431,1317,114,9,9,0,100
c4a4c2d0ba5728a2c3cd526beca43ae9f4ff3ca5,1,1,1,0,0,0,0,2,2,11,1,1,0,66,64,11,4,4,0,271,254,17,3,3,0,100
92e99f57e5ec8e6e62b9765eebdad09f74efe5ff,2,9,5,4,0,0,0,2,9,6,2,2,0.591672779,316,17,4,34,34,0,2431,2362,69,15,15,0,100
86e07ad5194f864e676b2be61b9d628832f62e3f,5,49,6,43,0,0,0,2,10,3,3,5,1.906377131,611,65,12,69,66,3,4325,4129,196,47,44,3,100
58fee6d8d10d13d62219fd3fabcaac7c95de9b73,10,463,225,238,5,0,5,2,11,2,3,5,2.926188503,409,66,13,53,39,14,3484,2735,749,28,17,11,95.90443686
ae494c1dc241373575878710c7e6e09eba5a4d65,2,524,0,524,2,0,2,1,1,0,1,2,0.94937388,0,0,0,52,0,52,2908,0,2908,35,0,35,99.33110368
93099070e2110d875505ecb4dc73794a3108fcde,2,16,16,0,0,0,0,1,2,0,1,2,0.337290067,393,1,1,52,52,0,2908,2908,0,35,35,0,100
e5a77ef7ecafbbe6b571528d65731ed51e30592c,9,338,602,264,0,0,0,2,12,7,4,7,2.219954108,1044,67,14,87,111,24,5739,7097,1358,46,72,26,99.00662252
f0d458cfc12e5d106f646cd83db8c48bb4774040,2,524,0,524,2,0,2,1,2,0,1,2,0.94937388,0,68,15,52,0,52,2908,0,2908,35,0,35,99.3442623
a279ce477f8d017c0e3752e859ae0c5002a84d86,7,78,338,260,0,0,0,2,11,2,3,5,1.582345179,857,2,2,59,87,28,4189,5739,1550,37,46,9,99.67105263
c0da90ec3d5b5ec23c7ff5fd22c8eb8ea6265d47,7,338,78,260,0,0,0,2,12,8,3,5,1.582345179,651,3,3,87,59,28,5739,4189,1550,46,37,9,99.67105263
c6a6843e00c357f2a0efd50136a3d5665e02b01c,6,323,366,43,1,0,1,2,3,1,2,2,1.864728691,463,4,4,42,39,3,2988,2938,50,22,21,1,98.05194805
c28017e0abb9af0f91d6be0c1538109cfa113187,1,236,252,16,0,0,0,3,13,2,1,1,0,223,5,5,31,31,0,1698,1721,23,10,10,0,98.86363636
37893f7003ddc34af3508007d81bc8243d2805b4,4,60,15,45,0,0,0,2,4,8,2,3,1.371308791,407,69,16,48,44,4,3053,2803,250,23,23,0,100
ca1e2f6fc333801d90bdad6884c615831ccb1c1b,3,50,26,24,0,0,0,2,9,0,2,2,0.848197879,444,70,17,47,46,1,3286,3085,201,27,26,1,100
5ff15e8d97014e6f5deafb729f52a7f165471283,1,5,5,0,0,0,0,2,6,0,1,1,0,247,71,18,28,28,0,1921,1914,7,11,11,0,100
9f667caedb794aa5fe53f63e6cb2c22f0ea46773,10,163,227,64,1,0,1,2,8,10,3,7,2.721940912,832,6,6,74,75,1,5273,5562,289,47,47,0,98.6970684
f83d1f018611808fc99a144e1bf49e1372c8f3fa,5,91,22,69,0,0,0,2,9,0,3,3,1.211724404,563,7,7,60,55,5,4318,3860,458,35,34,1,100
6b68f48362c9db92ac7a8af4911f81d487bf6165,1,154,150,4,0,0,0,3,10,0,1,1,0,168,8,8,16,15,1,1141,1083,58,14,13,1,98.68421053
adb0f12ae605a5bcfccc5bb753198bc845ceb3b6,1,9,5,4,0,0,0,1,2,0,1,1,0,51,9,9,11,7,4,326,270,56,4,4,0,100
33addcf05a3cc550f40343e7e2aabdcb60686a33,2,34,73,39,0,0,0,2,7,0,2,2,0.230162741,368,10,10,40,41,1,2631,2859,228,19,19,0,100
f973c89bd14429924d9e619021d7baa58be5faf0,2,5,5,0,0,0,0,2,8,2,1,1,0.970950594,248,11,11,27,27,0,1780,1792,12,11,11,0,100
d0f2662944c66c5397186ad4128a7bef732d3d5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,100
98cf291b509b3f90aa5817ffb0126a6c0ba476ba,1,65,8,57,0,0,0,1,3,6,1,1,0,236,13,13,53,40,13,2151,1753,398,33,24,9,100
a51e4e9110b13c62ba8703a701bc52af03fa0af7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11,0,0,0,0,0,0,0,0,0,100
