NMF,NAD,CFC,NCC,NMC,a2a
1,0,5,187,4,100
7,1,5,432,3,99.5423341
3,1,0,12,0,99.07264297
2,0,5,204,0,100
15,0,9,347,2,100
3,0,4,176,0,100
0,0,0,0,0,100
531,163,2872,151003,1296,51.71261487
531,243,2855,148570,1278,46.2962963
3,1,6,182,1,99.88901221
1,0,4,466,2,100
9,0,3,166,2,99.72283814
37,1,49,1999,16,99.05817175
3,2,14,684,4,99.5584989
2,0,5,136,1,100
135,0,460,26040,217,76.74190383
1,1,10,519,9,95.98662207
2,0,18,311,18,100
3,1,13,702,6,98.43014129
532,163,2924,157115,1313,52.82392027
533,246,2931,155175,1314,52.82392027
3,0,0,308,2,91.2202381
1,0,0,0,0,100
4,1,30,836,7,99.90654206
3,0,3,104,2,100
1,0,2,221,2,91.29574679
21,4,169,5967,83,89.81527708
7,1,12,248,6,90.01482946
4,0,13,444,5,94.59071326
7,2,22,661,12,99.77688532
2,0,0,15,0,100
1,0,0,20,0,100
1,0,1,17,2,100
2,0,6,169,0,99.86642921
1,0,0,0,0,100
540,162,3185,166493,1434,53.06365259
540,253,3283,167823,1492,51.46794488
60,4,184,7254,76,94.75571493
70,8,459,17113,122,88.6036961
1,0,1,30,0,100
1,0,2,66,1,100
1,0,0,2,0,100
3,0,1,21,0,100
1,0,0,0,0,100
2,0,3,186,2,100
2,0,2,146,1,99.63746224
2,0,12,1082,3,99.93954051
4,1,13,479,4,99.3452381
3,2,25,1001,11,99.05992949
16,7,110,3597,24,98.42840512
1,0,0,0,0,100
23,9,80,1792,55,88.82294758
2,0,4,34,1,100
2,0,14,110,0,100
1,0,3,72,2,100
3,0,1,29,1,100
