NMF,NAD,CFC,NCC,NMC,a2a
19,15,34,3830,22,99.43977591
45,5,5,2004,4,99.23513121
5,0,2,246,0,99.98689727
109,54,962,33682,825,97.03504043
1,0,0,1,0,100
7,1,21,803,8,99.8489426
164,4,906,28215,742,96.16080662
161,60,968,31812,831,96.16080662
36,0,42,1664,41,99.27820691
2,1,1,211,1,99.97454823
1,0,0,3,0,100
9,8,51,3448,21,99.13501316
3,1,38,2024,16,98.06077075
8,0,38,2059,18,98.01062647
39,16,22,2037,25,98.78019029
5,0,3,21,3,100
3,1,38,2024,16,98.26610476
6,4,21,2066,13,99.00035702
20,10,52,2814,26,99.1412775
44,12,42,1172,42,98.58147574
