Atlas,Avro,Chukwa,Crunch,Curator,Datafu,Eagle,Eventmesh,Falcon,Flume,Giraph,Gora,Hama,Inlong,Knox,Kylin,Mahout,Metron,Mina,Oltu,Openjpa,Opennlp,Pig,Ratis,Sedona,Sentry,Struts,Submarine,Tiles,Zookeeper
96.03960396,100,100,100,89.82300885,100,100,100,95.12195122,100,98.66071429,100,100,94.26280074,94.22222222,100,100,94.52954048,85.12173129,100,95.7439896,100,99.11167513,96.28099174,96.15384615,94.55445545,100,100,100,100
98.03921569,100,100,100,100,100,100,100,100,99.92272025,100,100,100,100,96.85714286,100,100,100,100,100,74.65152297,100,100,100,100,99.07407407,100,100,100,100
98.28850856,100,100,100,99.53488372,100,100,100,96.875,100,100,100,94.53125,100,98.87323944,100,11.96013289,100,99.28498468,95.78947368,99.97980614,100,100,94.3231441,96.2962963,99.09090909,100,100,100,92.53012048
96.74418605,100,99.77477477,100,100,100,100,100,100,100,98.2300885,100,100,100,90.85948158,100,100,100,100,98,100,100,99.48979592,99.54545455,94.44444444,99.10714286,100,100,100,100
100,100,100,100,100,100,100,100,99.21875,100,100,100,97.6744186,100,98.81889764,100,100,100,100,97.11538462,100,100,100,100,100,86.4,94.40203562,100,100,100
96.37188209,100,100,100,100,100,100,100,75.15151515,100,92.4,100,100,100,94.79418886,100,100,100,94.68302658,100,100,89.96897622,100,98.06763285,100,100,100,100,100,100
98.39816934,92.33226837,100,100,100,100,100,100,100,100,100,88.80484115,100,100,100,100,100,100,100,100,100,89.96897622,100,93.30357143,100,99.27536232,100,100,100,100
100,98.13333333,100,99.17695473,98.65470852,100,100,100,92.16589862,100,100,99.6835443,100,100,96.70588235,100,94.84848485,100,99.58762887,94.39252336,100,100,85.41666667,100,100,98.57142857,100,100,100,100
100,100,96.92307692,99.17695473,100,100,98.61852433,100,100,100,100,100,100,100,98.14585909,100,94.05405405,100,100,94.49541284,100,100,87.7688172,100,100,96.88581315,100,100,100,100
100,100,100,100,100,100,98.61852433,100,98.27586207,100,100,100,100,100,98.7654321,100,100,13.98907104,100,91.22807018,100,100,100,100,100,95.34883721,100,99.60906959,100,100
97.99554566,100,100,100,100,97.68518519,100,99.78354978,100,100,95.62043796,100,98.41269841,100,92.4691358,100,90.13333333,100,100,90.6779661,100,100,100,100,100,96.22641509,100,99.30394432,14.81481481,100
97.35099338,100,100,100,100,100,100,100,77.38693467,100,100,100,100,100,93.50318471,100,100,100,100,100,100,100,100,99.60629921,100,100,100,100,14.81481481,100
100,91.44542773,100,100,100,100,100,99.78354978,98.79518072,98.53902345,93.79084967,100,100,100,93.48659004,99.39698492,100,100,100,100,100,100,90.86419753,100,100,100,100,98.56169569,100,100
100,98.63013699,100,99.17695473,100,100,98.61852433,99.78354978,100,100,96.1414791,100,100,100,100,99.39698492,95.85635359,15.24008351,84.00392542,100,100,100,90.86419753,98.06949807,100,100,100,100,14.81481481,100
100,84.64419476,100,100,100,100,99.71042471,99.78354978,100,99.8467433,92.30769231,100,100,100,100,100,52.31213873,100,98.61495845,91.80327869,100,100,100,90.59233449,100,99.38461538,100,99.8509687,100,100
100,100,100,100,100,100,99.80744544,99.78354978,91.22807018,100,98.7012987,100,100,100,99.13043478,100,99.50738916,15.46499478,100,93.98496241,100,99.59897922,77.25674091,93.24324324,100,100,100,99.26035503,14.81481481,100
100,100,100,100,93.69024857,100,100,100,100,100,100,100,100,100,97.90123457,100,100,100,97.3357016,94.36619718,100,100,100,93.7694704,94.73684211,91.09195402,100,100,45.51282051,100
100,100,100,98.21673525,100,100,100,99.78354978,95.53072626,100,91.51943463,100,100,100,100,91.95143885,100,100,97.38267148,97.24137931,100,100,100,94.28571429,93.5483871,98.41688654,99.84040855,99.77973568,100,100
100,100,100,98.7704918,100,100,100,100,97.83783784,100,100,100,100,100,98.2630273,99.91850041,100,94.52954048,98.27089337,88.54961832,96.42058166,100,100,93.33333333,92.95774648,98.49246231,100,100,100,100
100,100,100,98.25503356,100,100,99.67855995,100,97.31182796,99.31584949,100,100,100,100,20.31823745,100,98.02371542,100,100,100,99.25976932,99.85470396,100,94.44444444,100,99.01960784,100,99.63369963,98.85321101,99.53161593
100,100,100,100,98.29931973,100,100,100,97.86096257,96.19269619,96.26865672,100,96.69421488,100,84.65408805,100,100,100,100,100,99.94865651,100,100,95.32163743,100,91.03641457,100,100,91.78403756,100
98.21826281,77.13178295,100,100,100,100,99.80713597,100,18.27411168,100,99.27007299,100,100,100,92.76944065,100,100,100,100,100,99.98288843,100,95.46891465,95.83333333,100,100,100,100,99.27884615,100
99.33035714,100,100,100,100,100,100,100,94.85981308,100,100,100,100,100,97.90502793,100,98.82352941,100,100,100,100,100,100,97.8978979,92.40506329,100,100,100,99.02676399,100
100,87.61061947,99.46524064,100,100,100,98.93754024,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.89177489,89.96539792,100,90.73033708,100,99.41690962,97.78325123,100
97.33333333,100,100,100,100,100,97.90187218,100,100,100,100,97.12556732,100,100,98.89807163,100,100,100,100,92.42424242,100,100,99.78308026,96.58119658,100,100,93.61837907,98.63505747,99.50248756,100
93.12638581,99.26650367,97.95037756,95.46703297,100,100,96.70602859,100,97.81659389,100,93.56913183,100,100,100,88.33107191,92.04851752,100,100,91.43730887,100,100,100,94.00785855,80.8,100,92.48291572,100,98.72971066,97.72727273,100
93.12638581,100,99.78165939,100,100,100,100,100,100,99.31146213,100,100,89.47368421,100,98.13084112,92.04851752,100,100,99.89384289,100,100,100,100,89.86486486,100,99.15611814,37.13739241,100,99.48717949,100
100,100,100,100,100,96.875,99.94011976,100,99.15254237,100,95.84487535,100,100,100,100,99.91863303,100,100,100,100,100,100,100,95.07692308,100,100,100,100,90.20618557,100
100,100,99.7826087,95.46703297,100,100,96.64179104,100,93.16239316,100,85.01628664,100,100,100,97.05882353,100,100,100,100,96.42857143,100,100,100,99.04761905,100,99.12663755,100,100,100,100
100,100,100,95.46703297,100,100,96.64179104,100,97.0464135,100,97.08333333,100,100,100,98.00531915,100,100,100,100,100,100,100,100,88.60294118,100,94.87804878,100,70.70979335,93.76693767,93.92523364
100,100,100,100,100,100,100,100,94.69387755,96.96969697,93.01310044,100,100,100,94.16149068,100,100,100,100,100,100,99.42342342,100,83.00395257,100,99.73262032,79.13646391,100,99.42528736,100
100,100,100,100,100,100,100,100,96.38554217,100,100,100,100,100,95.97069597,91.96588869,100,100,100,100,100,100,100,74.80916031,100,100,100,100,100,100
90.13157895,100,100,100,100,100,95.06833036,100,97.66536965,100,93.80530973,100,100,100,100,91.96588869,97.40500463,100,100,93.00699301,100,99.46619217,91.25840538,80.42168675,100,100,99.75015615,97.78869779,100,100
100,100,100,100,100,100,95.79496624,100,99.61832061,100,98.32635983,100,100,100,98.47522236,100,100,100,100,94.93670886,100,99.92952784,74.85436893,89.20454545,96.1038961,100,99.96876952,96.80365297,85.57457213,100
100,100,99.46062567,100,91.80602007,100,95.79496624,100,94.27480916,100,91.56626506,100,100,100,95.31051965,100,99.09255898,100,100,96.96969697,100,100,74.85436893,98.66220736,100,100,98.32037325,100,100,100
100,100,100,100,100,99.56140351,94.8816568,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79381443,100,98.64864865,100,32.05495135,98.83474576,100,100
100,100,100,100,100,100,100,99.78354978,100,99.76744186,100,100,100,100,100,100,99.81343284,100,100,100,100,100,100,89.36170213,100,100,92.02241195,97.13983051,100,100
100,100,100,98.21428571,89.61267606,100,99.97029115,99.78354978,100,100,100,100,100,100,98.06451613,100,100,100,100,100,100,100,71.45969499,95.76271186,18.66666667,99.46808511,100,100,100,100
100,100,100,96.84210526,100,100,100,100,98.47328244,100,86.50793651,100,97.22222222,100,100,99.75619667,98.89604416,100,100,100,100,99.29627023,71.45969499,99.15254237,88.37209302,100,100,100,100,100
100,100,100,83.80782918,100,100,100,100,92.5,100,100,93.06784661,94.05940594,100,100,99.43365696,99.27797834,100,100,100,100,100,85.68443051,88.88888889,100,100,100,80.72417465,100,100
100,100,100,100,99.07063197,100,99.97029115,100,64.12776413,100,100,100,91.34615385,100,97.75429326,100,99.54914337,98.74857793,100,100,100,100,85.68443051,80.61538462,100,100,100,100,100,100
100,100,100,81.41135972,100,100,100,98.71520343,84.58646617,99.92272025,100,100,100,100,97.13914174,100,99.55156951,96.31236443,100,100,100,100,100,85.63968668,100,100,100,97.73462783,100,100
100,100,100,97.91955617,100,100,100,100,100,100,68.99224806,100,97.4789916,100,100,100,100,100,100,98.8372093,100,100,100,90.53117783,100,100,100,100,100,100
100,100,100,95.77656676,100,95,100,100,95.8781362,100,100,99.6996997,100,100,94.35483871,98.21631879,100,98.65145228,100,100,100,100,84.88612836,98.03439803,93.2038835,100,100,100,100,100
100,100,100,99.45054945,100,100,100,100,100,100,100,100,100,100,94.35483871,100,100,92.55861366,100,86.39455782,100,100,84.88612836,99.26650367,96.46017699,98.68766404,100,100,100,100
100,100,100,99.7260274,99.81549815,100,100,100,100,100,98.51851852,100,100,100,94.35483871,100,99.5571302,89.45454545,100,100,100,100,99.69167523,91.26213592,98.33333333,99.22279793,99.89281886,99.22651934,100,100
98.03921569,93.77682403,100,100,100,100,99.97029115,100,90.14084507,100,100,100,100,100,93.97905759,97.63539283,99.73591549,100,100,100,99.94868286,100,92.45647969,90.84821429,100,100,24.04309612,97.9143798,100,100
98.03921569,100,100,100,100,100,100,100,100,100,100,100,100,100,89.16449086,97.63539283,99.82394366,100,100,100,100,100,100,95.18828452,100,100,100,100,87.26851852,100
93.11064718,100,100,99.04502046,100,100,99.88105858,100,91.47005445,100,100,100,100,100,100,100,99.56024626,99.83471074,100,100,100,100,100,95.13274336,100,100,100,100,100,100
100,93.46642468,100,100,100,100,97.83447048,100,95.63636364,100,100,100,88.52459016,92.83175355,92.36947791,100,99.9122807,100,100,100,96.3624447,100,96.33699634,99.06542056,100,99.74226804,100,100,100,100
89.5049505,92.90187891,100,100,97.56521739,100,100,100,100,100,100,100,85.36585366,100,92.12328767,100,96.00665557,100,100,100,100,100,100,100,100,100,100,100,100,100
89.5049505,100,100,100,100,100,100,100,99.12587413,100,100,100,96.8503937,100,96.16724739,97.54006709,100,100,100,100,100,100,100,99.76635514,100,100,100,100,100,100
100,97.59358289,99.78586724,99.45429741,100,100,97.68820391,100,100,100,100,100,100,96.74054759,100,97.54006709,100,100,100,100,100,100,86.08156028,96.92671395,83.76068376,99.2248062,100,100,100,100
89.5049505,100,100,100,92.52173913,99.6031746,100,100,100,100,100,100,100,100,100,100,100,100,100,98.33333333,100,100,83.37975859,12.76595745,96.22641509,100,100,100,97,100
100,96.40102828,100,100,100,100,100,100,100,100,100,100,100,100,97.93814433,97.54006709,100,100,100,96.8,100,100,100,91.12709832,97.14285714,100,100,100,100,100
100,100,100,100,100,99.21259843,100,100,100,100,100,100,88.52459016,100,100,97.54006709,100,100,100,83.97435897,100,100,100,87.97169811,100,100,100,100,100,100
100,100,100,100,100,100,99.94061758,100,95.90443686,100,100,100,88.49557522,100,100,100,100,100,100,98.92473118,100,100,81.724846,94.53302961,82.53968254,100,100,97.31471536,100,100
92.36947791,100,100,100,100,97.27626459,100,100,99.33110368,98.10177706,100,100,97.34513274,100,95.05703422,100,100,100,100,97.38219895,100,100,81.724846,95.44419134,100,99.74093264,100,100,100,100
84.98985801,100,100,98.90859482,100,100,100,100,100,99.91539763,100,100,100,100,95.71788413,99.96413199,99.60598897,100,100,100,100,100,87.40310078,96.78800857,100,85.38681948,100,100,99.26650367,100
85.59837728,93.99538106,100,100,100,100,97.63033175,100,99.00662252,100,94.94584838,100,100,100,100,100,100,91.37096774,100,97.93814433,100,100,100,100,100,100,100,100,100,100
92.85714286,98.72881356,100,100,100,100,100,100,99.3442623,100,100,100,96.09375,100,99.13793103,99.96413199,84.87874465,100,100,100,100,100,94.97797357,95.92668024,100,99.67948718,100,98.1443299,100,100
97.59036145,99.59016393,100,100,95.75221239,100,100,100,99.67105263,96.90763052,98.93238434,100,100,100,97.18137255,99.96413199,100,92.32488823,100,97.96954315,100,99.78925184,98.35119538,93.17697228,100,98.71794872,100,75.10288066,100,100
99.6,100,100,100,100,100,99.9408284,100,99.67105263,100,100,100,100,100,100,100,100,100,100,100,100,100,95.25423729,97.74266366,100,100,100,99.58158996,100,100
93.77358491,100,100,100,100,100,100,100,98.05194805,100,100,100,100,100,100,100,97.51677852,99.71751412,100,100,100,100,95.66613162,100,100,98.71794872,100,99.79123173,100,99.543379
100,100,100,99.18367347,99.32318105,100,97.56965027,100,98.86363636,100,100,100,100,100,100,100,100,99.64763918,100,100,100,100,85.64013841,99.3166287,100,100,100,100,100,100
99.82078853,100,99.78586724,100,100,100,97.63033175,100,100,99.8853211,100,100,91.2,100,100,100,100,100,100,21.15384615,100,100,86.45294726,21.89473684,100,100,100,100,100,100
