CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
8bbf011601b89f8d31d0c90e496998f939a8cd7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
fa15f233933bfcfb4f883355aa254ac68c30272f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
f29adf50a9350e7cbc75f757270a314524c45a33,136,470,468,2,0,0,0,1,1,0,1,20,6.734611562,12920,5,5,1233,2312,1079,92920,85136,7784,1069,2040,971,79.13646391
40110e7ce65c794efead5ebf984b0d6ab5fc6959,1,1,1,0,0,0,0,1,2,0,1,1,0,365,6,6,67,67,0,2761,2761,0,16,16,0,100
9d18f7cda0c0501fe09c0c0c4f34229ea22c0bce,2,6,4,2,0,0,0,1,1,0,1,2,0.970950594,20,7,7,2,2,0,87,82,5,2,2,0,99.75015615
66d89eb7d3fe32331f7ada71a25b28b18232df71,1,5,7,2,0,0,0,1,2,0,1,1,0,222,8,8,52,52,0,1146,1175,29,50,50,0,99.96876952
eaf97aa73c99a27922f9ebf76e2ab07532d11778,13,25,25,0,0,0,0,1,1,0,1,3,3.509275071,448,9,9,84,429,345,2619,11206,8587,61,325,264,98.32037325
0bf2e5db5ffa1d6065e14fe0714cb5c71e0dce23,1188,63985,63970,15,594,0,594,1,7,0,1,148,9.586425748,39037,10,10,6514,16612,10098,262553,634392,371839,3965,12875,8910,32.05495135
841625cfe48e101ef17998bd2f0576ebca477149,74,121,126,5,0,0,0,1,1,0,1,25,5.598504824,3397,11,11,562,222,340,15212,7104,8108,463,222,241,92.02241195
be215e9f0f61df03f861e172f057d3dae9053f9e,3,20,18,2,0,0,0,2,6,0,1,3,0.787143961,772,12,12,43,45,2,4877,5092,215,26,27,1,100
c7e8e59652b62ee96232a8a007e81c64d76c9de9,231,314,314,0,0,0,0,1,8,0,3,47,6.891946268,18449,32,32,2923,2923,0,122934,122934,0,1916,1916,0,100
80e200fcfe2acca9449ad58e6759352c713ca54b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,100
cdcbdd621c2d162d71fe94f2c12882862fd1b382,654,9873,1477,8396,0,0,0,1,9,0,2,96,9.282803212,41290,34,34,6866,6866,0,268826,268826,0,4325,4325,0,100
6615ae1159643f4a43d399a22470778f48fbb971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,100
34604fc41aa17e65c29059ca35ecbc7426410496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,100
cd38bdde32859afaa00d5c54795975d3e1867707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,100
08627ef54de21d0d6d4f910ad64194490a843d91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,100
64b32e0cbd8ff5ae1f548e594c16be24c445bec6,4,0,228,228,0,0,0,2,3,12,1,2,1.977682542,106,4,4,0,20,20,0,774,774,0,16,16,99.89281886
e82758a9616fbd29e5fae9c4f1095f5c9a1ca509,673,470,458,12,2,0,2,1,7,0,3,102,2.193105552,50897,5,5,7085,700,6385,277887,25557,252330,4437,698,3739,24.04309612
a4a7d921f8d22df2daf0937576fc69d70e88f8f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,100
c5edfc4577a79d15f0e2d26c62eb5079f66477fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,100
e90e5aa61443ee8d48421869fc0f83805aec976e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,100
c34b6a64ee3cf1e94ed923ae05990bd63f15e0c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,100
1d82c293ae51f4a0b5b35d58a8a0268ecb008f2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,100
0bd760a616ab5fb912b8855544300a476b46337f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,100
c116c508cc637d7945d98c45e46e709ab5fb97b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,100
3fcdafdf8d5cbc7ed2873576f36345b36007fd7f,1,7,3,4,0,0,0,2,2,1,1,1,0,236,24,24,54,52,2,1167,1146,21,50,50,0,100
da8b5c3cf638c51e30eb090c6171f6fb63a9f6a1,2,2,2,0,0,0,0,2,2,6,1,2,1,268,25,25,38,38,0,1913,1913,0,14,14,0,100
34187cd31e6da661fd27a22addfbf20132b70b30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,100
b18576f9a1a25e0c493fe376421eb5a6bef3d7c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,100
5c58352f637fc9c6a96d7c679f00bb32681a7129,1,2,2,0,0,0,0,2,2,7,1,1,0,60,2,0,9,9,0,274,274,0,5,5,0,100
ed14f809aa558c458d6f86fe1a168118c8e93833,1,5,5,0,0,0,0,2,2,7,1,1,0,202,3,1,40,40,0,1419,1419,0,7,7,0,100
3dd443363d8338ddd11bd12202eb12c5cf8c0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,100
003f20d54b2f93aa036aa10827a24c2cc8bab418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,100
dec94034a95d16aa1320d0a8a60631f37a599df3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,100
b52055dcf6115af84b39b184710bf690b8af3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,100
041dd0dea798a34982e57af1cf284cc6834500ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,100
95d69c3f02ecb805b3ea7e2a111ad7fb872114ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,100
4413fccfcef7cf2048c6bd3d65f06e9f6aa4f240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,100
776f138ca2a26dcca18f16e0813279b0a3e1c82c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,100
9075442e1cb31f16b77c7acffa64541e70338c14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,100
