6f8844eacfa201698322d59f9b82bcb0049fba2b,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,96.29226584
85843b26f63be6254fbc8409831514fcdff14bdd,WW-5347,,,,,100
ebaec639c67b4eb4e3c746819ec3b8fa5e7deeb5,WW-5348,,,,,96.29226584
ed597468901c0dbc7667cc2e225724dc97383f43,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
4c4ec52b39e2bd206e61a894116e4a456e6837bb,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
a75a873646e760a51e72d854ad261e6c3d7fc54a,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,96.29226584
8ff8e42e76a79008c7c749a775f23e8194f50024,/,/,    Bump org.jfree:jfreechart from 1.5.1 to 1.5.4,/,/,100
9540ba6a0392038fd4b080cc61c5a39536b9092f,/,/,    Merge pull request #755 from apache/gh-actions-sonar,/,/,100
3da11a29a91753a673a60da4a7ea24bd9171c781,WW-5346,,,,,96.65103327
f69364bf63ed679b8298080418ed2e82267c0753,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,97.57256328
11e4dce71aa4932fcd1e0b2641d5559f5c0dea6b,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
a4a0d70aa94a6ad77bfa316651ba4862887019e6,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,99.99211978
4ff700e9a8b971c37c8da050f918631c42f42f3c,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,99.98423707
2bca0147cc5bc1099f7e686a3cd613470d94ac14,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
91d58d31de34b567880e0175fa29ae2ffbc69cbe,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
f542fde458267cb9dd8fb1b2789cfb608d498bfa,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
25585617f13153291c7d8618d53bb6420272c21e,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
8551a09a62b5bb90bdfd64acc5854ca32e1e4001,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,96.30723781
