NMF,NAD,CFC,NCC,NMC,a2a
2,0,4,582,2,100
2,0,2,135,2,100
5,0,0,10,0,100
5,0,13,1668,5,100
0,0,0,0,0,100
2,0,7,474,6,100
2,0,3,24,0,100
3,0,0,8,0,100
3,0,2,387,0,100
2,0,2,106,1,100
5,0,13,483,10,100
2,0,0,0,0,100
0,0,0,0,0,100
89,45,203,5994,112,92.41761446
6,0,0,48,0,98.05249788
13,0,9,402,2,100
1,0,6,607,2,100
1,0,8,1090,5,100
1,0,2,356,2,100
2,0,16,379,4,100
5,1,11,1115,8,97.7706151
109,19,170,6170,76,90.40619989
127,31,283,13605,134,88.53467562
1,0,0,0,0,100
1,0,0,34,0,99.91438356
1,0,2,70,0,100
1,0,0,9,0,100
2,0,4,273,1,100
2,0,4,89,1,100
1,0,1,60,0,100
1,0,0,34,0,100
1,0,0,28,1,100
1,0,0,28,1,100
