CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,8,4
60c30dcab158b8166295ed6b6c28b948039add39,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,9,5
853c331a55ad97bf88ed20b252e3e25122807330,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,10,6
23b613b68a74d2418e693c757c2b961d88d73674,32,63,128,core/src/main/java/org/apache/mina/common/IoAcceptor.java,1,1,32,0,0,2,4,24.0,1,10,4.327332448399551,4894,8,8
,,,,core/src/main/java/org/apache/mina/common/IoConnector.java,1,1,33
,,,,core/src/main/java/org/apache/mina/common/IoService.java,3,3,24
,,,,core/src/main/java/org/apache/mina/common/IoSession.java,3,3,65
,,,,core/src/main/java/org/apache/mina/common/support/BaseIoAcceptor.java,1,1,53
,,,,core/src/main/java/org/apache/mina/common/support/BaseIoConnector.java,1,1,55
,,,,core/src/main/java/org/apache/mina/common/support/BaseIoService.java,4,25,66
,,,,core/src/main/java/org/apache/mina/common/support/BaseIoSession.java,2,2,329
,,,,core/src/main/java/org/apache/mina/common/support/DefaultExceptionMonitor.java,2,2,31
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/DatagramAcceptor.java,1,1,69
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/DatagramConnector.java,1,1,69
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/DatagramService.java,3,3,34
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/DatagramSession.java,1,0,34
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/SocketAcceptor.java,1,1,53
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/SocketConnector.java,1,1,29
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/SocketSessionManager.java,0,33,23
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/support/DatagramAcceptorDelegate.java,1,1,579
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/support/DatagramConnectorDelegate.java,1,1,568
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/support/DatagramFilterChain.java,2,2,57
,,,,core/src/main/java/org/apache/mina/transport/socket/nio/support/DatagramService.java,1,1,25
