CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
4ed0fe4fe0ff0abbbe82aab937004d3b702a450b,1,5,1,4,signature-api/src/main/java/org/apache/labs/amber/signature/parameters/Parameter.java,5,1,80,0,0,0,1,2,58.0,1,1,0.0,80,65,5
506ae81fac7244fc45552ace98b679b04d8ca743,2,48,8,40,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,44,4,120,0,0,0,1,5,20.0,1,1,0.5916727785823275,153,66,6
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/SignatureMethodAlgorithm.java,4,4,33
e3caf86cae34fe15b9593376c12da863a7c2b6f5,1,43,6,37,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,43,6,145,0,0,0,1,6,9.0,1,1,0.0,145,67,7
6243a9f43ee22e4a006c64ec51a4c4ea98d4b3a0,1,2,1,1,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,2,1,177,0,0,0,1,7,0.0,1,1,0.0,177,68,8
5768e3a85ddf7378ab1afbe06a75d643888d9b4d,1,1,1,0,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,1,1,178,0,0,0,1,8,0.0,1,1,0.0,178,69,9
dede792e4731f3851a7653fcfe1bbcb3d47b866f,1,5,7,2,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,5,7,178,0,0,0,1,9,0.0,1,1,0.0,178,70,10
ee73718481af6a7ee6c8c2eb0b52135873f0855a,1,91,0,91,signature-api/src/main/java/org/apache/labs/amber/signature/signers/hmac/HmacSha1MethodAlgorithm.java,91,0,0,1,0,1,1,1,0.0,1,1,0.0,0,71,11
7be14d5780ed2dc22da3b193ef24c62df418f0f1,2,26,0,26,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,16,0,176,0,0,0,1,10,0.0,1,2,0.961236604722876,240,72,12
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/hmac/HmacSha1MethodAlgorithm.java,10,0,64
aa85afee83ab618711fd4b293e9f0e95c49583a7,1,1,2,1,signature-api/src/main/java/org/apache/labs/amber/signature/signers/hmac/HmacSha1MethodAlgorithm.java,1,2,72,0,0,0,1,3,0.0,1,1,0.0,72,73,13
f7f416903a7fee8173b1142bb411d15b06af8625,1,2,2,0,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,2,2,182,0,0,0,1,11,0.0,1,1,0.0,182,74,14
e3df9d4c624e2c25393f622a45148267463385fd,1,66,0,66,signature-api/src/main/java/org/apache/labs/amber/signature/signers/plaintext/PlaintextMethodAlgorithm.java,66,0,0,1,0,1,1,1,0.0,1,1,0.0,0,75,15
a2aaaf3360e7936d3864271622dce7d1a9d3a130,1,62,0,62,signature-api/src/test/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithmTestCase.java,62,0,0,1,0,1,1,1,0.0,1,1,0.0,0,76,16
