16197b7602617dc199073c32c2742347fffab23b,/,/,    releng: updated OpenID Connect parent & modules versions,/,/,100
a0ee19a93e95c4982da7ce1903329de13e7437da,OLTU-138,Bug,Passing &quot;Basic &quot; as Authorization causes an ArrayIndexOutOfBoundsException,oauth2-common,Trivial,99.51124145
10b57dd4b745638301a92c07e62b690e082ad090,/,/,    simplified download page,/,/,100
e2f7061e9a594a408c9e7ae9708be3a587cf7701,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
0b3950d4290225413f8dcb538167761ebbe91fa1,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-1.0.0,/,/,100
7ee324f8f2ebd14087ce21563f3626e2917b5700,/,/,    releng: it doesn't have anymore sense to maintain a single file with global changes file  since Oltu hosts multiple specs implementations and not only OAuth 2.0,/,/,100
425b98809e22d78264217c7d3a3b5ad3da4abc35,/,/,    releng: relaxing restrictions  authzserver doesn't respect the conventions,/,/,100
5fcc7dd84b70f1e911445f205a3f8b97efd31908,/,/,    releng: dependencies updated to latest released version,/,/,100
51d9c0a400bd6e7eab9d50db3c6a4706a78b8b9d,/,/,    releng: updated parent to latest stable released version,/,/,100
f20857b5900953b508b49b29dbfbe6996beb85b2,/,/,    [maven-release-plugin] rollback the release of org.apache.oltu.oauth2.parent-1.0.0,/,/,100
94b578eab4b66194c44a3b078e7c5c1414fd713d,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
6b3e821cf794d5451f54ceb89ff9d1d36a0f41e6,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-1.0.0,/,/,100
335bdc967661e915dbbd4161c631748629605008,/,/,    fixing broken SCM info,/,/,100
38937d5482263798d509f58123a65bf1f2b7a0b8,/,/,    [maven-release-plugin] rollback the release of org.apache.oltu.oauth2.parent-1.0.0,/,/,100
16dcc07dcad04c854b102008d8393da391b4d3b9,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-1.0.0,/,/,100
54dd935d70ffc2b5e9b03a59c424f92dbe5788a5,/,/,    releng: export all subpackages in each bundle,/,/,100
112dcc5bc1b3631cfaf68f940082f4d20a555483,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
baa0a26bc036bcc69281238cce8239365e0a1b8c,/,/,    [maven-release-plugin] prepare release org.apache.oltu.jose.parent-1,/,/,100
6dd380d0822eb55c7656d381b48bb05f49dc9e14,/,/,    fixed RAT violation - license header,/,/,100
9d7653794c424fa19285b10687eb027b835f5560,/,/,    preparing next release metadata,/,/,100
58b859804c795f995852bccf2f2966a85bf2b434,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
06cf96165bdf399068f07f4cdecea4614b9d2c4d,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-1,/,/,100
c652b53f94d1f47d40564e2c960261c4c970f579,/,/,    preparing metadata for next release,/,/,100
a8a76da9d7ddc21a167334e3892f8b7ddd8ca7a4,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
77f841501226e708d12f7f1d56afd3eb33a24943,/,/,    [maven-release-plugin] prepare release org.apache.oltu.parent-2,/,/,100
247959ec5da0b3ada178799235660c395c603cef,/,/,    maven-bundle-plugin:2.4.0 has issues with current oltu build  back to previous stable release,/,/,100
d923a181006d2d5d13242f76954c14e6e2317e08,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
f872ea9291ec3533007fef1196b2eb86375e23ab,/,/,    [maven-release-plugin] prepare release org.apache.oltu.parent-2,/,/,100
26c17cee0510ed5dcb91ea9b9def37813abb54bc,/,/,    releng: plugins update,/,/,100
978fe374bbed9544ed44d83c81332531ff01b134,/,/,    using autoVersionSubmodules=true forces the submodules to inherit the root version  rather than the one specified in the module pom,/,/,100
fda2aed6376659a1dde45953f06cb44948bb3be8,/,/,    all modules vesion rollback  release failed (again),/,/,100
