NMF,NAD,CFC,NCC,NMC,a2a
7,7,57,2601,26,96.41255605
8,0,2,170,0,100
9,2,17,1037,5,87.65133172
1,0,0,22,0,100
3,0,1,109,0,100
4,0,5,245,0,100
4,0,0,161,2,88.15165877
5,2,12,411,7,95.16129032
0,0,0,0,0,100
1,0,0,37,0,97.4459725
24,0,94,3631,52,93.47368421
4,0,9,272,5,97.60348584
8,0,10,207,1,93.5334873
12,2,4,897,7,94.60154242
7,1,8,62,0,98.44559585
19,4,40,2783,21,88.42975207
23,5,26,1345,13,88.59416446
8,0,18,670,14,95.45454545
3,0,0,22,0,100
8,0,29,1239,16,95.76271186
1,0,1,21,0,100
1,0,0,0,0,100
1,1,12,323,3,99.39759036
3,0,5,195,0,100
15,0,6,149,6,96.25360231
1,1,2,165,1,94.85861183
11,10,137,4532,82,95.21640091
