0472ac46ecae82d7162a2dfb1a2bcb30c32fc77f,/,/,    Removed useless operations.,/,/,100,,,,,,,,
3d52fa804cbbf51dd35b1daa4cc81e12c9127591,/,/,    Rearrange team lists in alphabetical order.,/,/,100,,,,,,,,
1e4571725d6d2ab82517d2a23f2067cc48166f7d,/,/,    Add myself and modify other people,/,/,100,,,,,,,,
e2d7322e525a18516affdf4d3c4f8510ade8cfa5,/,/,    update website,/,/,100,,,,,,,,
c38624dab9cea8d3fefecb44d121c7675901c134,/,/,    update website,/,/,100,,,,,,,,
ced1fa093338db1646e74db920b0b3268ee5b37f,/,/,    update website,/,/,100,,,,,,,,
744590cca44fc12c960214e525a8e55f213fa3e0,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100,,,,,,,,
057bf1a94b1a2cf2e627aacd2da1603a788f15b1,/,/,    [maven-release-plugin] prepare release 0.7.0-RC3,/,/,100,,,,,,,,
72c6799d4416a62ba7571481913702eb6228e6d0,/,/,    Reprocess release steps for deploying artifacts to maven repository,/,/,100,,,,,,,,
7a588d3e8cb6c1b0097f86157138affd1e5c8707,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100,,,,,,,,
6ebddd31b3954982e1fb046dfc26f0f033c98f7a,/,/,    [maven-release-plugin] prepare release 0.7.0-RC3,/,/,100,,,,,,,,
9392635e2961d271beff7115682c72fd8bc15e6e,/,/,    [maven-release-plugin] rollback the release of 0.7.0-RC3,/,/,100,,,,,,,,
6765a51030c8926dfc2a6fbccb53efa357d7ecad,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100,,,,,,,,
3582f9d55a39d57a0bd04585c3df7a313052d57e,/,/,    [maven-release-plugin] prepare release 0.7.0-RC3,/,/,100,,,,,,,,
cd72f02d15b5ee2e274e7803ff0c33fa366b5f63,HAMA-939,Improvement,Refactoring which was implement using out-of-date status response,yarn,Major,100,,,,,,,,
ae47e1a33dccfd703f8abf2f005e205bfbc77d6e,HAMA-939,Improvement,Refactoring which was implement using out-of-date status response,yarn,Major,100,,,,,,,,
739d1daa04e40d7b0511881a9b4e42fbf69018d4,/,/,    [maven-release-plugin] rollback the release of 0.7.0-RC2,/,/,100,,,,,,,,
47a8cd83468face5f8e0c4e21c7aa92f5c6e7a3e,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100,,,,,,,,
f468e2df76b3e6e56682b18b51b66ecc02264598,/,/,    [maven-release-plugin] prepare release 0.7.0-RC2,/,/,100,,,,,,,,
3173b8317d1852c02cdd420b1b86dd46aff8456d,/,/,    [maven-release-plugin] rollback the release of hama-parent-0.7.0-SNAPSHOT,/,/,100,,,,,,,,
724308a1fb3e9bf01992da8d413851d247e605c2,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100,,,,,,,,
4aaf7de5929793d351598a61f7ef7d823c030895,/,/,    [maven-release-plugin] prepare release hama-parent-0.7.0-SNAPSHOT,/,/,100,,,,,,,,
396bc529f5be1ad2ba9348742c43b9c8f3246ff6,HAMA-939,Improvement,Refactoring which was implement using out-of-date status response,yarn,Major,99.65690156,,,,,,,,
bdf6331721b8762414e7d6f2316061dcfc5aa03d,/,/,    FastGen need to print usage if no arguments.,/,/,100,,,,,,,,
593db089e57570cabb8ad1317fb25014450a08c0,HAMA-955,Task,Support UnsafeByteArrayInputStream and UnSafeByteArrayOutputStream,bsp core,Major,99.7627208,,,,,,,,
b3f1c9802a85971b1ee15d15a270981675b3741b,HAMA-959,Improvement,Change to atomic counter from sync counter in MapVerticesInfo,,Trivial,100,,,,,,,,
6e23f7a516fbbec00c511de8ca8d0128c27860c3,/,/,    Provide more exception details,/,/,100,,,,,,,,
56a11c6cbc552455218b89966924a9abba80f387,HAMA-949,Improvement,File splits based on number of input files,,Major,100,,,,,,,,
5a648dab6c4c90bfc5cc8b945e8815c024b33e0d,HAMA-957,Bug,Compilation failure with hadoop 2.7.0,bsp core,Trivial,99.89431968,,,,,,,,
9169e759e6a7aa72ee68688627dc755eb342b8e9,/,/,    graphjob uses own vertx partitioning.,/,/,100,,,,,,,,
c5c6824c39dbde589619c6adabe6427e1ee2d1f9,/,/,    Fix build fails,/,/,100,,,,,,,,
ee92d6c34c68283b335fc4ddb149948230800c88,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679363 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
dde375498bb65c442858839379cd1da3595b62a7,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679362 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
e05e498eefd23108a13617c3336c08ba9e21d8de,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679360 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
a9b5888080b85faa00dc010002f2cd3cabced3c2,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679358 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
b75792a72903b57b832a88bed7384d2d8087a89a,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679357 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
bd7e85ceb25383ab372432245c92ca1b7e9acd53,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679356 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
8f6b95a8ad5802910975e376f861fb6d5a8d038d,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1679354 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
68353f377112dbbc97b89be771de537281a48b59,/,/,    debugging,/,/,100,,,,,,,,
992af3fd111a5e305301475bed195d9992275146,/,/,    Fix custom partition path,/,/,100,,,,,,,,
7760fe4431d4a4fc512f233dc233fb79c1e17fa6,/,/,    debugging,/,/,99.08920439,,,,,,,,
e228a1871f0cb5bf9fb1646874cd781effddb6d4,/,/,    cleanup unit test's output,/,/,100,,,,,,,,
5ac3599198987801445838dba26292174836a844,HAMA-956,Improvement,Support force-setting the no. of tasks,bsp core,Major,100,,,,,,,,
baa995cc802bde4e4422aa4a2518a6b080e7e2de,/,/,    fix unit test fails.,/,/,100,,,,,,,,
5401914e9663f022e5dd534346568c4b25271273,/,/,    Minor changes,/,/,100,,,,,,,,
4aced1b421469edc524ba27cf740fd2dbc8f5df1,HAMA-956,Improvement,Support force-setting the no. of tasks,bsp core,Major,94.75193576,,,,,,,,
d6d6f890db2ecd2480fd0c20e19eaa5f1a6f569d,HAMA-946,Improvement,Graph package code optimization for improve performance,graph,Major,91.34262656,,,,,,,,
0f3c3124f07784b6147d22cab6f71ca22e20d5be,HAMA-894,New Feature,Implement K-core algorithm,machine learning,Major,100,,,,,,,,
bd2c08ec0593280ea9e4007a8986a39f326c0050,/,/,    code optimization.,/,/,100,,,,,,,,
ac3fb5c345a35f5be12df83809c69bcb7058b253,HAMA-954,Improvement,Make message bundle behaviour configurable,,Major,95.83333333,,,,,,,,
ecdeb841d813d36ad8c8fcfb9a42a8d9c415e3c3,/,/,    Refactor to save bit memory.,/,/,100,,,,,,,,
94ba60ee8124235c547c223d124799088e1c7bff,/,/,    change the default value.,/,/,100,,,,,,,,
d45ad792aaab3e4507d1338d1ce447249827fa9d,/,/,    minor improvements,/,/,100,,,,,,,,
c4f46752ea639fae2a87133ddd6c1694d0d887ad,/,/,    minor improvements,/,/,100,,,,,,,,
2f57bda8d0b0c92b97e60404b497b12ea1333a17,/,/,    Fix race conditions about ConcurrentHashMap,/,/,100,,,,,,,,
256512023f301b79d9b87486e4b5f51586bf2df8,/,/,    minor code optimization,/,/,97.41012756,,,,,,,,
5fb37d4b72dd955c05c3fed412a06e0f71f04eae,/,/,    decrease default pool size to 256,/,/,100,,,,,,,,
b3e98806811d9254405c6804c4d3ca127d79df2b,/,/,    Add rejectexecutionhandler,/,/,100,,,,,,,,
9d0a009e33ecb8aec8d122d82ad924de8a0b595b,HAMA-952,Bug,Configuration overrides HamaConfiguration settings,bsp core,Major,100,,,,,,,,
b1ccd5ec8c419f4080e7464c8810f75acd15fa11,HAMA-952,Bug,Configuration overrides HamaConfiguration settings,bsp core,Major,100,,,,,,,,
5b90bdcd87b231e5ed56e02f7442e5b9121a2283,HAMA-946,Improvement,Graph package code optimization for improve performance,graph,Major,100,,,,,,,,
10764281108998a4caea31af0c8d7d104083232b,HAMA-946,Improvement,Graph package code optimization for improve performance,graph,Major,99.57912458,,,,,,,,
625cad48e3ae5e95049d67db463f72251b2e2977,/,/,    Fix build for hadoop1,/,/,100,,,,,,,,
5968da5f1ad57ee1acf44eb5c0675f48ea0b7deb,/,/,    Use newCachedThreadPool,/,/,100,,,,,,,,
ddbb80f46e749575c06b48fab47ea25b56a59a44,HAMA-951,Bug,Make BSPMessageBundle thread-safe,bsp core,Major,96.95493301,,,,,,,,
2cff825b6e8c3f91f881ee93dded4b732d3d856e,/,/,    remove useless trace code.,/,/,100,,,,,,,,
6a713aa60498ee0deec2337153f7e683a34221ff,HAMA-950,Bug,Fail the build on hadoop1 profile,build ,Major,100,,,,,,,,
