2ab2746f7793e65968309520bf2ec0fe36a430ff,OPENJPA-2910,Improvement,implement WASManagedRuntime witout Serp,kernel,Major,99.42512717
a84728ccb17aa86f7b77f00b1316df1a0ef1ee0a,/,/,    Upgrade GH workflows with JDK 11,/,/,100
14239329784a1b1ef2e05144457c13cc296867eb,OPENJPA-2908,Improvement,implement Jakarta JPA 3.1,,Major,100
0ddc38512d690bd18ea37103c6b78f5fa48127a3,OPENJPA-2908,Improvement,implement Jakarta JPA 3.1,,Major,100
2535a24d55ac9ef70837b151dc50c0682ba225eb,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
ecff638a02f4bc2f1357857318657325e7d8da1e,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
7532498e7ac8eda4fa38c5757daf56414b56180e,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
ec946b6789184a3be7ffe7d18f59bcac4238e08e,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
8f9547b643421dcd88975e2ac4a283b11cace51b,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,99.98290774
12f780eb763d0e7a39faf74d4fdb58af0f7094d7,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,99.98632479
87458c708bc3971763f9dc79153b9ac8aee66c8c,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
94a2bf97be80bfc8607472d6b94d8b7ee22250c4,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
65242c70b7296c581c98df5e5d4471846c879fec,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,100
487159da3bc5404a39e87a883410405e1ef39b02,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,99.98632151
4ec4598ad1549039022a919d9c2db46722c45641,OPENJPA-2909,Improvement,implement field proxies with ASM instead Serp,kernel,Major,99.61355631
6fc05e14d00c23e3684256e5e6e63d1f71c32ecf,OPENJPA-2908,Improvement,implement Jakarta JPA 3.1,,Major,100
9a87badd3becc9898fb1048936420038bfc210d2,OPENJPA-2908,Improvement,implement Jakarta JPA 3.1,,Major,100
3a436b585da4e0f2acf3a2583834c0f12cae0bbb,OPENJPA-2809,Task,Add openjpa-junit5 helper to enhance entities at test run,,Major,99.95896314
d9ceb44526dc60d8be91b39c92d9d606a9c07c54,OPENJPA-2908,Improvement,implement Jakarta JPA 3.1,,Major,96.02550397
05069dfee47724ec263a3bbc1c84c12739f241e4,/,/,    Bump postgresql from 42.5.0 to 42.5.1 (#109),/,/,100
57f300b1da76b3b98b718414243b05fce996b758,/,/,    Bump kubernetes-client from 5.9.0 to 6.2.0 (#105),/,/,100
e7cd6f65628a3741dad149dd3c0254b684255630,/,/,    Bump ant from 1.10.9 to 1.10.11 (#103),/,/,100
6aec10a41bf3913b7784b6f83fd252ec7048184a,/,/,    Log4j2 update to last version (free of vulnerability such as Log4Shell) (#101),/,/,100
0be08390d5b2c69573b424a3b9b5ed52bb1551cc,/,/,    typo is fixed,/,/,100
aed0e58f129eecba5beb3e13b265dc23a22ee169,/,/,    DB drivers are updated,/,/,100
c3da147fc922dcd56c3a62c951bebac0d870d8cd,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
e5933d6aeed8463b01d1a075d611e336aacddc72,/,/,    [maven-release-plugin] prepare release 3.2.2,/,/,100
641dfd947ecde452816c2af7ea26c8673d3a140a,/,/,    Merge pull request #93 from jeanouii/jakarta-relocate,/,/,100
a605d872e5b4d929d1f4864eba3aa8aebcee35a7,OPENJPA-2713,Sub-task,[JPA-2.2] add support for Java8 Date/Time types,jpa,Major,100
f228d2c259f23fd17a328f719f2908cdc9ff6f52,OPENJPA-2713,Sub-task,[JPA-2.2] add support for Java8 Date/Time types,jpa,Major,100
e5c29f431807e8083951ff1b9209072326f4c636,/,/,    Requires the full package for the pattern,/,/,100
6d7ee9ba59688db6d2841252a847a2ed63f36786,/,/,    refine Jakarta relocate patterns,/,/,100
68b77e1ae7a078fa336d42b0ea6bf1c9b6e65dca,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
000c065dbe8ceb4589fc1f789a37b8d68af6311e,/,/,    [maven-release-plugin] prepare release 3.2.1,/,/,100
468a4538fa0446dd24da3916f92041163540385e,OPENJPA-2896,Bug,Automatic module name is not set for bundles,,Major,100
e15296c4151fdaf3d807ec7ef784a0bfaf15cc5f,OPENJPA-2893,Improvement,H2 2.x is not working with OpenJPA,jdbc,Major,94.85056232
720869a4e0470265afb67def2e33b9c7e5801a0a,OPENJPA-2881,Improvement,runtime exception in org.apache.openjpa.lib.meta.XMLMetaDataParser.parseNewResource,,Major,99.99305218
cc55aec97d5f5050ba0299ed081a56c7b208465d,OPENJPA-2889,Bug,commons-pool2 bundle version defined in karaf features repository is not aligned with the actual version used by openjpa,osgi,Major,100
e7774e32948015cfd8de665e18a091eb2e4564bd,OPENJPA-2891,Bug,@Generated annotation cannot be disabled for static metamodel,,Critical,100
3e9644d990cb5dd182303bd048622cae5f1f3882,OPENJPA-2891,Bug,@Generated annotation cannot be disabled for static metamodel,,Critical,100
ad5f05112a06dbd0592f4bd158900037e32f2ccd,OPENJPA-2891,Bug,@Generated annotation cannot be disabled for static metamodel,,Critical,100
fe423839f134be2d6a13fcbc3e4d91961b869340,OPENJPA-2891,Bug,@Generated annotation cannot be disabled for static metamodel,,Critical,100
4d932bc787ffaa4b8a79b44366b5ec80f58b9dda,OPENJPA-2889,Bug,commons-pool2 bundle version defined in karaf features repository is not aligned with the actual version used by openjpa,osgi,Major,100
cb258aee424374a79b9d4fd7728d5ee5eb2cdc17,/,/,    Merge pull request #81 from tandraschko/master,/,/,100
8ff3dff49b4754205315df0d144e2e9da1fe6880,OPENJPA-2877,Bug,[JPA-2.1] implement AttributeConverter ,kernel,Major,100
08fe2742c1879858f955c74919c3f047c0d74fff,/,/,    Merge branch 'apache:master' into master,/,/,99.9930517
