CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
288a8cfdcf6bbba131fb5414663ad84b4dc35d0a,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9bd461944d016a23876a28680c3ec405b8c8ff55,2,60,18,src/test/java/org/apache/avro/TestDataFile.java,22,18,100,0,0,2,5,0,1,1,0.999525689,188,2,2
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,38,0,88,,,,,,,,,,,
c201bb7b930d8c5be3e5b5c52a3f51192f9ebb14,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,17,17
55574fe9a59e76e111260d28de09ed1dec04d478,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,3,3
5183bd9feb3a288632337de3533d36558248de61,5,61,51,src/java/org/apache/avro/Protocol.java,23,22,220,0,0,1,6,38,1,3,1.917058475,880,18,5
,,,,src/java/org/apache/avro/Schema.java,20,17,396,,,,,,,,,,,
,,,,src/java/org/apache/avro/ipc/Responder.java,4,1,71,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestDataFile.java,3,3,104,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,11,8,89,,,,,,,,,,,
0abe6d6ae36cc5f9cffd9047ed76baf13f2d0ca1,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,19,6
87f3bff4097e2782e8ebd6b3446ed5192f7e3934,9,42,60,src/java/org/apache/avro/Protocol.java,5,4,222,0,0,1,6,24,1,5,2.625823335,1756,20,7
,,,,src/java/org/apache/avro/Schema.java,13,24,399,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericData.java,6,11,220,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,6,6,231,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,1,2,150,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,8,7,158,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,1,4,177,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/RandomData.java,1,1,107,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,1,1,92,,,,,,,,,,,
75b5c9a86bf1d342b848ecd629d244f2942c904c,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,21,8
d1a9521495c8ca1ed7f6e6f3437ae7e5a58f1b72,6,174,43,src/java/org/apache/avro/Protocol.java,6,2,223,0,0,1,7,36,1,4,2.108248129,1309,22,1
,,,,src/java/org/apache/avro/Schema.java,33,16,390,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericData.java,3,2,215,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,73,5,230,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,10,6,159,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,49,12,92,,,,,,,,,,,
20633ecbe5bb3787857494b8476f612c7f7fddcb,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,23,1
32a1fcb5682049aacfbd06c32b630f166c23f643,4,13,5,src/java/org/apache/avro/specific/SpecificCompiler.java,6,1,174,0,0,1,7,82,1,2,1.904875005,357,24,2
,,,,src/test/java/org/apache/avro/TestProtocolReflect.java,2,1,26,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,3,2,119,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestReflect.java,2,1,38,,,,,,,,,,,
94335e391efff84c65e2d9f7bfd57c2e9f34c9e4,2,56,31,src/java/org/apache/avro/Protocol.java,1,0,226,0,0,1,8,4,1,1,0.090543853,633,25,3
,,,,src/java/org/apache/avro/Schema.java,55,31,407,,,,,,,,,,,
13ba975ab15341d7ecda31b2e8870d68084828e8,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,26,4
ff6e70c84c24f4c0e86dbaa3b4fc969d5660f6da,12,279,129,src/test/java/org/apache/avro/RandomData.java,5,9,107,3,0,1,8,41,1,3,3.473771211,776,27,5
,,,,src/test/java/org/apache/avro/TestDataFile.java,14,8,104,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestFsData.java,22,14,98,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,26,14,108,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolReflect.java,10,22,27,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,36,26,120,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestReflect.java,12,21,39,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,34,10,124,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/io/TestValueReader.java,7,5,49,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,0,0,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,0,0,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,0,0,,,,,,,,,,,
f42255b1f8bbf661680383677e70135fd6ac8f2a,14,229,29,src/java/org/apache/avro/Protocol.java,1,1,227,0,0,1,9,31,1,5,2.828898841,2344,28,6
,,,,src/java/org/apache/avro/Schema.java,88,13,430,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericData.java,2,0,216,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,25,2,287,,,,,,,,,,,
